Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C12,C15,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525,11
10k,R5,C_0402_1005Metric,C25744,1
10uF,"C13,C14",C_0201_0603Metric,C19702,2
1k,"R6,R7",C_0402_1005Metric,C11702,2
1uF,"C1,C10",C_0402_1005Metric,C52923,2
27,"R3,R4",C_0402_1005Metric,C25100,2
33pF,"C16,C17",C_0402_1005Metric,C1562,2
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
Crystal_GND24,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
MCP1700x-330xxTT,U3,SOT-23,C39051,1
MX_SW_HS,SW45,SW_MX_HS_CPG151101S11_1.75u,C49352235,1
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
W25Q16JVZPIQ TR,U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
MX_SW_HS,SW78,SW_MX_HS_CPG151101S11_1.25u,,1
MX_SW_HS,SW77,SW_MX_HS_CPG151101S11_1.5u,,1
MX_SW_HS,SW59,SW_Hotswap_Kailh_MX_2.25u,,1
MX_SW_HS,SW57,SW_Hotswap_Kailh_MX_2.00u,,1
MX_SW_HS,SW28,SW_Hotswap_Kailh_MX_2.00u,,1
MX_SW_HS,SW75,SW_MX_HS_CPG151101S11_1.5u,,1
MX_SW_HS,SW76,SW_Hotswap_Kailh_MX_6.25u,,1
MX_stab,S57,STAB_MX_P_2.25u,,1
MX_stab,S28,STAB_MX_P_2u,,1
MX_stab,S76,STAB_MX_P_6.25u,,1
MX_stab,S59,STAB_MX_P_2.25u,,1
MX_stab,S70,STAB_MX_P_2u,,1
D_Small,D10,D_SOD-123,,1
D_Small,D18,D_SOD-123,,1
MX_SW_HS,SW54,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D3,D_SOD-123,,1
D_Small,D7,D_SOD-123,,1
D_Small,D63,D_SOD-123,,1
MX_SW_HS,SW5,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW79,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW42,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW23,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D57,D_SOD-123,,1
MX_SW_HS,SW48,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW4,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D77,D_SOD-123,,1
D_Small,D5,D_SOD-123,,1
D_Small,D66,D_SOD-123,,1
D_Small,D31,D_SOD-123,,1
MX_SW_HS,SW19,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D38,D_SOD-123,,1
D_Small,D2,D_SOD-123,,1
D_Small,D24,D_SOD-123,,1
MX_SW_HS,SW69,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW63,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW15,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D53,D_SOD-123,,1
MX_SW_HS,SW56,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D79,D_SOD-123,,1
MX_SW_HS,SW51,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D23,D_SOD-123,,1
MX_SW_HS,SW70,SW_MX_HS_CPG151101S11_1.75u,,1
MX_SW_HS,SW12,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW52,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW68,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D78,D_SOD-123,,1
MX_SW_HS,SW11,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW73,SW_MX_HS_CPG151101S11_1.25u,,1
MX_SW_HS,SW65,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW34,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW43,SW_MX_HS_CPG151101S11_1.5u,,1
D_Small,D8,D_SOD-123,,1
MX_SW_HS,SW66,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW33,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D59,D_SOD-123,,1
D_Small,D47,D_SOD-123,,1
D_Small,D12,D_SOD-123,,1
MX_SW_HS,SW55,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D51,D_SOD-123,,1
MX_SW_HS,SW35,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW60,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D75,D_SOD-123,,1
D_Small,D73,D_SOD-123,,1
D_Small,D70,D_SOD-123,,1
MX_SW_HS,SW49,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW38,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW46,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW21,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW24,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D52,D_SOD-123,,1
MX_SW_HS,SW22,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D54,D_SOD-123,,1
D_Small,D56,D_SOD-123,,1
MX_SW_HS,SW53,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D21,D_SOD-123,,1
D_Small,D43,D_SOD-123,,1
MX_SW_HS,SW36,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D33,D_SOD-123,,1
D_Small,D68,D_SOD-123,,1
D_Small,D14,D_SOD-123,,1
D_Small,D46,D_SOD-123,,1
D_Small,D80,D_SOD-123,,1
D_Small,D49,D_SOD-123,,1
D_Small,D42,D_SOD-123,,1
D_Small,D69,D_SOD-123,,1
MX_SW_HS,SW47,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D55,D_SOD-123,,1
D_Small,D61,D_SOD-123,,1
MX_SW_HS,SW3,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW32,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D62,D_SOD-123,,1
D_Small,D48,D_SOD-123,,1
MX_SW_HS,SW9,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW1,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW74,SW_MX_HS_CPG151101S11_1.25u,,1
MX_SW_HS,SW20,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW27,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW67,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D37,D_SOD-123,,1
D_Small,D45,D_SOD-123,,1
MX_SW_HS,SW80,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D34,D_SOD-123,,1
MX_SW_HS,SW16,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW26,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D74,D_SOD-123,,1
MX_SW_HS,SW50,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW17,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D30,D_SOD-123,,1
D_Small,D16,D_SOD-123,,1
D_Small,D40,D_SOD-123,,1
MX_SW_HS,SW37,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D6,D_SOD-123,,1
D_Small,D9,D_SOD-123,,1
MX_SW_HS,SW25,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D13,D_SOD-123,,1
D_Small,D20,D_SOD-123,,1
MX_SW_HS,SW62,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW41,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW2,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D17,D_SOD-123,,1
MX_SW_HS,SW39,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D27,D_SOD-123,,1
D_Small,D71,D_SOD-123,,1
MX_SW_HS,SW30,SW_MX_HS_CPG151101S11_1.5u,,1
D_Small,D15,D_SOD-123,,1
MX_SW_HS,SW64,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D64,D_SOD-123,,1
D_Small,D41,D_SOD-123,,1
D_Small,D4,D_SOD-123,,1
D_Small,D65,D_SOD-123,,1
D_Small,D11,D_SOD-123,,1
D_Small,D67,D_SOD-123,,1
MX_SW_HS,SW18,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D76,D_SOD-123,,1
D_Small,D26,D_SOD-123,,1
D_Small,D35,D_SOD-123,,1
MX_SW_HS,SW61,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW10,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D1,D_SOD-123,,1
MX_SW_HS,SW13,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW71,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D39,D_SOD-123,,1
D_Small,D25,D_SOD-123,,1
D_Small,D50,D_SOD-123,,1
D_Small,D22,D_SOD-123,,1
D_Small,D60,D_SOD-123,,1
MX_SW_HS,SW40,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D19,D_SOD-123,,1
MX_SW_HS,SW7,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW6,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW8,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D36,D_SOD-123,,1
D_Small,D28,D_SOD-123,,1
D_Small,D32,D_SOD-123,,1
MX_SW_HS,SW31,SW_MX_HS_CPG151101S11_1u,,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
RotaryEncoder_Switch,SW14,Encoder_EC11_MX,,1
MX_SW_HS,SW29,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D58,D_SOD-123,,1
MX_SW_HS,SW58,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D44,D_SOD-123,,1
D_Small,D81,D_SOD-123,,1
MX_SW_HS,SW72,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,SW81,SW_MX_HS_CPG151101S11_1u,,1
D_Small,D72,D_SOD-123,,1
D_Small,D29,D_SOD-123,,1
MX_SW_HS,SW44,SW_MX_HS_CPG151101S11_1u,,1
SW_Push,SW82,SW_Push_SPST_NO_Alps_SKRK,,1
